iter	Passed	Remaining
0	93	93092
1	96	48210
2	99	33207
3	102	25563
4	105	21005
5	111	18397
6	114	16174
7	116	14504
8	119	13192
9	122	12143
10	125	11279
11	128	10589
12	131	10001
13	134	9502
14	137	9054
15	140	8663
16	143	8308
17	146	7988
18	149	7714
19	152	7450
20	154	7223
21	157	7003
22	160	6812
23	163	6662
24	167	6531
25	171	6417
26	174	6305
27	178	6197
28	181	6081
29	184	5977
30	187	5869
31	190	5771
32	193	5677
33	196	5592
34	199	5508
35	202	5421
36	204	5328
37	206	5234
38	208	5139
39	210	5050
40	212	4963
41	213	4881
42	215	4801
43	217	4726
44	219	4656
45	221	4590
46	223	4526
47	225	4468
48	227	4408
49	229	4351
50	230	4295
51	232	4241
52	234	4189
53	236	4139
54	238	4093
55	240	4050
56	242	4004
57	243	3961
58	245	3920
59	247	3882
60	249	3844
61	252	3813
62	254	3781
63	256	3748
64	258	3715
65	260	3684
66	262	3650
67	263	3607
68	265	3576
69	267	3548
70	268	3518
71	270	3492
72	272	3462
73	274	3433
74	276	3406
75	278	3380
76	280	3358
77	281	3331
78	283	3302
79	284	3275
80	286	3247
81	287	3224
82	289	3201
83	291	3179
84	292	3151
85	294	3130
86	295	3102
87	297	3082
88	298	3059
89	300	3037
90	301	3014
91	303	2992
92	304	2970
93	305	2949
94	307	2927
95	309	2909
96	310	2894
97	312	2877
98	314	2858
99	315	2840
100	317	2823
101	318	2799
102	319	2783
103	321	2766
104	322	2749
105	324	2736
106	326	2721
107	327	2705
108	329	2689
109	330	2674
110	332	2659
111	333	2644
112	334	2629
113	336	2614
114	337	2600
115	339	2586
116	341	2573
117	342	2560
118	343	2545
119	345	2531
120	346	2518
121	348	2505
122	349	2488
123	350	2476
124	351	2463
125	353	2451
126	355	2443
127	356	2428
128	357	2416
129	359	2404
130	360	2393
131	362	2382
132	363	2370
133	365	2360
134	367	2351
135	368	2341
136	370	2331
137	371	2319
138	373	2311
139	374	2301
140	376	2291
141	377	2280
142	378	2269
143	379	2258
144	381	2248
145	382	2237
146	383	2226
147	385	2219
148	387	2211
149	388	2203
150	390	2194
151	392	2187
152	393	2179
153	395	2171
154	396	2164
155	398	2156
156	400	2149
157	402	2142
158	403	2135
159	405	2128
160	406	2120
161	408	2112
162	409	2105
163	411	2098
164	413	2091
165	414	2084
166	416	2076
167	417	2069
168	419	2061
169	420	2053
170	422	2046
171	423	2039
172	425	2032
173	426	2025
174	428	2018
175	429	2012
176	431	2008
177	433	2001
178	435	1996
179	436	1989
180	437	1979
181	438	1971
182	439	1964
183	441	1957
184	442	1951
185	444	1947
186	446	1940
187	447	1934
188	449	1927
189	450	1920
190	451	1913
191	453	1906
192	454	1899
193	455	1892
194	456	1885
195	458	1881
196	460	1878
197	462	1872
198	463	1865
199	464	1859
200	466	1852
201	467	1847
202	468	1841
203	470	1835
204	471	1830
205	474	1827
206	476	1824
207	477	1819
208	480	1819
209	482	1814
210	483	1808
211	485	1803
212	486	1797
213	488	1793
214	490	1789
215	491	1784
216	493	1779
217	494	1773
218	495	1768
219	497	1763
220	498	1758
221	500	1752
222	501	1748
223	503	1742
224	505	1740
225	506	1734
226	507	1728
227	508	1723
228	510	1717
229	511	1712
230	512	1706
231	513	1701
232	515	1695
233	516	1690
234	517	1685
235	519	1682
236	521	1678
237	522	1674
238	524	1669
239	526	1665
240	527	1661
241	529	1657
242	530	1654
243	532	1650
244	535	1651
245	537	1647
246	539	1643
247	541	1640
248	542	1637
249	544	1633
250	546	1629
251	547	1625
252	550	1626
253	552	1623
254	554	1619
255	557	1620
256	559	1617
257	561	1614
258	563	1611
259	567	1614
260	568	1611
261	570	1607
262	572	1604
263	574	1600
264	576	1597
265	577	1593
266	578	1589
267	580	1586
268	583	1584
269	584	1580
270	585	1576
271	587	1572
272	588	1567
273	590	1563
274	591	1559
275	593	1556
276	595	1553
277	597	1552
278	599	1549
279	601	1546
280	603	1543
281	604	1540
282	606	1536
283	608	1533
284	609	1529
285	611	1525
286	612	1521
287	614	1518
288	615	1515
289	617	1512
290	619	1508
291	621	1506
292	622	1502
293	624	1499
294	626	1496
295	627	1492
296	628	1488
297	630	1485
298	631	1481
299	633	1477
300	634	1473
301	636	1470
302	637	1466
303	639	1463
304	640	1459
305	641	1455
306	643	1452
307	645	1449
308	646	1445
309	647	1442
310	649	1438
311	650	1434
312	652	1431
313	653	1427
314	654	1424
315	656	1420
316	657	1416
317	658	1413
318	660	1409
319	661	1405
320	662	1401
321	664	1398
322	665	1394
323	666	1390
324	668	1387
325	669	1384
326	670	1380
327	672	1377
328	673	1374
329	675	1370
330	676	1367
331	677	1364
332	679	1360
333	681	1358
334	682	1355
335	684	1352
336	686	1350
337	688	1348
338	690	1345
339	691	1342
340	693	1340
341	695	1337
342	697	1335
343	698	1332
344	699	1328
345	701	1325
346	702	1322
347	704	1319
348	705	1315
349	706	1311
350	707	1308
351	708	1304
352	710	1301
353	711	1298
354	712	1294
355	713	1291
356	715	1287
357	716	1285
358	717	1281
359	719	1278
360	720	1275
361	722	1272
